activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,3194945,[],CHEMBL1102721,Inhibition of VCP assessed as conversion of ATP to ADP by enzyme coupled glucokinase assay,B,,,BAO_0000190,BAO_0000357,single protein format,Oc1ccc(Nc2nc(-c3ccc(Cl)c(Cl)c3)cs2)cc1,,,CHEMBL1154941,Bioorg. Med. Chem. Lett.,2010.0,"{'bei': '18.88', 'le': '0.41', 'lle': '0.80', 'sei': '14.10'}",CHEMBL1081482,,CHEMBL1081482,6.37,False,http://www.openphacts.org/units/Nanomolar,892011,=,1,True,=,,IC50,nM,,430.0,CHEMBL1075145,Homo sapiens,Transitional endoplasmic reticulum ATPase,9606,,,IC50,uM,UO_0000065,,0.43
,3194946,[],CHEMBL1102721,Inhibition of VCP assessed as conversion of ATP to ADP by enzyme coupled glucokinase assay,B,,,BAO_0000190,BAO_0000357,single protein format,Oc1ccc(Nc2ncc(-c3ccccc3)o2)cc1,,,CHEMBL1154941,Bioorg. Med. Chem. Lett.,2010.0,"{'bei': '27.91', 'le': '0.51', 'lle': '3.25', 'sei': '12.08'}",CHEMBL1076570,,CHEMBL1076570,7.04,False,http://www.openphacts.org/units/Nanomolar,892012,=,1,True,=,,IC50,nM,,91.0,CHEMBL1075145,Homo sapiens,Transitional endoplasmic reticulum ATPase,9606,,,IC50,uM,UO_0000065,,0.091
,3194947,[],CHEMBL1102721,Inhibition of VCP assessed as conversion of ATP to ADP by enzyme coupled glucokinase assay,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccccc1-c1cnc(Nc2ccc(O)cc2)o1,,,CHEMBL1154941,Bioorg. Med. Chem. Lett.,2010.0,"{'bei': '24.52', 'le': '0.45', 'lle': '3.12', 'sei': '10.25'}",CHEMBL1081994,,CHEMBL1081994,6.92,False,http://www.openphacts.org/units/Nanomolar,892091,=,1,True,=,,IC50,nM,,120.0,CHEMBL1075145,Homo sapiens,Transitional endoplasmic reticulum ATPase,9606,,,IC50,uM,UO_0000065,,0.12
,3194948,[],CHEMBL1102721,Inhibition of VCP assessed as conversion of ATP to ADP by enzyme coupled glucokinase assay,B,,,BAO_0000190,BAO_0000357,single protein format,Oc1ccc(Nc2ncc(-c3cccc(Cl)c3)o2)cc1,,,CHEMBL1154941,Bioorg. Med. Chem. Lett.,2010.0,"{'bei': '23.90', 'le': '0.47', 'lle': '2.41', 'sei': '11.76'}",CHEMBL1082173,,CHEMBL1082173,6.85,False,http://www.openphacts.org/units/Nanomolar,892093,=,1,True,=,,IC50,nM,,140.0,CHEMBL1075145,Homo sapiens,Transitional endoplasmic reticulum ATPase,9606,,,IC50,uM,UO_0000065,,0.14
,3194949,[],CHEMBL1102721,Inhibition of VCP assessed as conversion of ATP to ADP by enzyme coupled glucokinase assay,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cccc(-c2cnc(Nc3ccc(O)cc3)o2)c1,,,CHEMBL1154941,Bioorg. Med. Chem. Lett.,2010.0,"{'bei': '23.98', 'le': '0.44', 'lle': '2.97', 'sei': '10.03'}",CHEMBL1082174,,CHEMBL1082174,6.77,False,http://www.openphacts.org/units/Nanomolar,892094,=,1,True,=,,IC50,nM,,170.0,CHEMBL1075145,Homo sapiens,Transitional endoplasmic reticulum ATPase,9606,,,IC50,uM,UO_0000065,,0.17
,3195969,[],CHEMBL1102721,Inhibition of VCP assessed as conversion of ATP to ADP by enzyme coupled glucokinase assay,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(O)c1cccc(-c2cnc(Nc3ccc(O)cc3)o2)c1,,,CHEMBL1154941,Bioorg. Med. Chem. Lett.,2010.0,"{'bei': '22.69', 'le': '0.42', 'lle': '3.23', 'sei': '7.03'}",CHEMBL1082175,,CHEMBL1082175,6.72,False,http://www.openphacts.org/units/Nanomolar,892095,=,1,True,=,,IC50,nM,,190.0,CHEMBL1075145,Homo sapiens,Transitional endoplasmic reticulum ATPase,9606,,,IC50,uM,UO_0000065,,0.19
,3195970,[],CHEMBL1102721,Inhibition of VCP assessed as conversion of ATP to ADP by enzyme coupled glucokinase assay,B,,,BAO_0000190,BAO_0000357,single protein format,Oc1ccc(Nc2ncc(-c3ccc(Cl)cc3)o2)cc1,,,CHEMBL1154941,Bioorg. Med. Chem. Lett.,2010.0,"{'bei': '22.61', 'le': '0.44', 'lle': '2.04', 'sei': '11.12'}",CHEMBL1076585,,CHEMBL1076585,6.48,False,http://www.openphacts.org/units/Nanomolar,892096,=,1,True,=,,IC50,nM,,330.0,CHEMBL1075145,Homo sapiens,Transitional endoplasmic reticulum ATPase,9606,,,IC50,uM,UO_0000065,,0.33
,3195971,[],CHEMBL1102721,Inhibition of VCP assessed as conversion of ATP to ADP by enzyme coupled glucokinase assay,B,,,BAO_0000190,BAO_0000357,single protein format,Oc1ccc(Nc2ncc(-c3ccc(N4CCOCC4)cc3)o2)cc1,,,CHEMBL1154941,Bioorg. Med. Chem. Lett.,2010.0,"{'bei': '20.41', 'le': '0.38', 'lle': '3.26', 'sei': '9.73'}",CHEMBL1082184,,CHEMBL1082184,6.89,False,http://www.openphacts.org/units/Nanomolar,892173,=,1,True,=,,IC50,nM,,130.0,CHEMBL1075145,Homo sapiens,Transitional endoplasmic reticulum ATPase,9606,,,IC50,uM,UO_0000065,,0.13
,3195972,[],CHEMBL1102721,Inhibition of VCP assessed as conversion of ATP to ADP by enzyme coupled glucokinase assay,B,,,BAO_0000190,BAO_0000357,single protein format,CCN(CC)c1ccc(-c2cnc(Nc3ccc(O)cc3)o2)cc1,,,CHEMBL1154941,Bioorg. Med. Chem. Lett.,2010.0,"{'bei': '20.53', 'le': '0.38', 'lle': '2.00', 'sei': '10.79'}",CHEMBL1082029,,CHEMBL1082029,6.64,False,http://www.openphacts.org/units/Nanomolar,892174,=,1,True,=,,IC50,nM,,230.0,CHEMBL1075145,Homo sapiens,Transitional endoplasmic reticulum ATPase,9606,,,IC50,uM,UO_0000065,,0.23
Not Active,3633994,[],CHEMBL1614535,"PUBCHEM_BIOASSAY: Luminescence dose response biochemical high throughput screening assay for inhibitors of the p97 ATPase: synthesized compounds. (Class of assay: confirmatory) [Related pubchem assays: 1481, 1517 ]",B,,,BAO_0000190,BAO_0000357,single protein format,CCOC(=O)/C(C#N)=C/c1c2ccccc2cc2ccccc12,,,CHEMBL1201862,,,,CHEMBL1318338,,CHEMBL1318338,,False,http://www.openphacts.org/units/Nanomolar,1263633,>,7,True,>,,IC50,nM,,50000.0,CHEMBL1075145,Homo sapiens,Transitional endoplasmic reticulum ATPase,9606,,,IC50,um,UO_0000065,,50.0
Not Active,3633995,[],CHEMBL1614535,"PUBCHEM_BIOASSAY: Luminescence dose response biochemical high throughput screening assay for inhibitors of the p97 ATPase: synthesized compounds. (Class of assay: confirmatory) [Related pubchem assays: 1481, 1517 ]",B,,,BAO_0000190,BAO_0000357,single protein format,CCOc1ccc(-c2csc(Nc3ccc(C#N)cc3)n2)cc1,,,CHEMBL1201862,,,,CHEMBL1446122,,CHEMBL1446122,,False,http://www.openphacts.org/units/Nanomolar,1263629,>,7,True,>,,IC50,nM,,50000.0,CHEMBL1075145,Homo sapiens,Transitional endoplasmic reticulum ATPase,9606,,,IC50,um,UO_0000065,,50.0
Not Active,3633996,[],CHEMBL1614535,"PUBCHEM_BIOASSAY: Luminescence dose response biochemical high throughput screening assay for inhibitors of the p97 ATPase: synthesized compounds. (Class of assay: confirmatory) [Related pubchem assays: 1481, 1517 ]",B,,,BAO_0000190,BAO_0000357,single protein format,CCOC(=O)/C(C#N)=C/c1ccc(F)cc1[N+](=O)[O-],,,CHEMBL1201862,,,,CHEMBL1355382,,CHEMBL1355382,,False,http://www.openphacts.org/units/Nanomolar,1263636,>,7,True,>,,IC50,nM,,50000.0,CHEMBL1075145,Homo sapiens,Transitional endoplasmic reticulum ATPase,9606,,,IC50,um,UO_0000065,,50.0
Not Active,3633997,[],CHEMBL1614535,"PUBCHEM_BIOASSAY: Luminescence dose response biochemical high throughput screening assay for inhibitors of the p97 ATPase: synthesized compounds. (Class of assay: confirmatory) [Related pubchem assays: 1481, 1517 ]",B,,,BAO_0000190,BAO_0000357,single protein format,N#Cc1ccc(Nc2nc(-c3ccc(C#N)cc3)cs2)cc1,,,CHEMBL1201862,,,,CHEMBL1593304,,CHEMBL1593304,,False,http://www.openphacts.org/units/Nanomolar,1263628,>,7,True,>,,IC50,nM,,50000.0,CHEMBL1075145,Homo sapiens,Transitional endoplasmic reticulum ATPase,9606,,,IC50,um,UO_0000065,,50.0
Not Active,3633998,[],CHEMBL1614535,"PUBCHEM_BIOASSAY: Luminescence dose response biochemical high throughput screening assay for inhibitors of the p97 ATPase: synthesized compounds. (Class of assay: confirmatory) [Related pubchem assays: 1481, 1517 ]",B,,,BAO_0000190,BAO_0000357,single protein format,N#C/C=C/c1ccccc1Nc1ccc(S(N)(=O)=O)cc1,,,CHEMBL1201862,,,,CHEMBL1434737,,CHEMBL1434737,,False,http://www.openphacts.org/units/Nanomolar,1263641,>,7,True,>,,IC50,nM,,50000.0,CHEMBL1075145,Homo sapiens,Transitional endoplasmic reticulum ATPase,9606,,,IC50,um,UO_0000065,,50.0
Not Active,3633999,[],CHEMBL1614535,"PUBCHEM_BIOASSAY: Luminescence dose response biochemical high throughput screening assay for inhibitors of the p97 ATPase: synthesized compounds. (Class of assay: confirmatory) [Related pubchem assays: 1481, 1517 ]",B,,,BAO_0000190,BAO_0000357,single protein format,CCOC(=O)/C(C#N)=C/c1ccc([N+](=O)[O-])cc1,,,CHEMBL1201862,,,,CHEMBL1484797,,CHEMBL1484797,,False,http://www.openphacts.org/units/Nanomolar,1263635,>,7,True,>,,IC50,nM,,50000.0,CHEMBL1075145,Homo sapiens,Transitional endoplasmic reticulum ATPase,9606,,,IC50,um,UO_0000065,,50.0
Not Active,3634000,[],CHEMBL1614535,"PUBCHEM_BIOASSAY: Luminescence dose response biochemical high throughput screening assay for inhibitors of the p97 ATPase: synthesized compounds. (Class of assay: confirmatory) [Related pubchem assays: 1481, 1517 ]",B,,,BAO_0000190,BAO_0000357,single protein format,Cc1cc(-c2csc(Nc3ccc(C#N)cc3)n2)c(C)n1CCc1ccccc1,,,CHEMBL1201862,,,,CHEMBL1373154,,CHEMBL1373154,,False,http://www.openphacts.org/units/Nanomolar,1263631,>,7,True,>,,IC50,nM,,50000.0,CHEMBL1075145,Homo sapiens,Transitional endoplasmic reticulum ATPase,9606,,,IC50,um,UO_0000065,,50.0
Not Active,3634001,[],CHEMBL1614535,"PUBCHEM_BIOASSAY: Luminescence dose response biochemical high throughput screening assay for inhibitors of the p97 ATPase: synthesized compounds. (Class of assay: confirmatory) [Related pubchem assays: 1481, 1517 ]",B,,,BAO_0000190,BAO_0000357,single protein format,Cc1cc(-c2csc(Nc3ccc(C#N)cc3)n2)c(C)n1Cc1ccccc1,,,CHEMBL1201862,,,,CHEMBL1364907,,CHEMBL1364907,,False,http://www.openphacts.org/units/Nanomolar,1263630,>,7,True,>,,IC50,nM,,50000.0,CHEMBL1075145,Homo sapiens,Transitional endoplasmic reticulum ATPase,9606,,,IC50,um,UO_0000065,,50.0
Active,3634002,[],CHEMBL1614535,"PUBCHEM_BIOASSAY: Luminescence dose response biochemical high throughput screening assay for inhibitors of the p97 ATPase: synthesized compounds. (Class of assay: confirmatory) [Related pubchem assays: 1481, 1517 ]",B,,,BAO_0000190,BAO_0000357,single protein format,N#Cc1ccc(Nc2nc(-c3ccc(O)cc3O)cs2)cc1,,,CHEMBL1201862,,,"{'bei': '17.22', 'le': '0.33', 'lle': '1.49', 'sei': '5.97'}",CHEMBL1593230,,CHEMBL1593230,5.33,False,http://www.openphacts.org/units/Nanomolar,1263627,=,7,True,=,,IC50,nM,,4713.0,CHEMBL1075145,Homo sapiens,Transitional endoplasmic reticulum ATPase,9606,,,IC50,um,UO_0000065,,4.713
Not Active,3634003,[],CHEMBL1614535,"PUBCHEM_BIOASSAY: Luminescence dose response biochemical high throughput screening assay for inhibitors of the p97 ATPase: synthesized compounds. (Class of assay: confirmatory) [Related pubchem assays: 1481, 1517 ]",B,,,BAO_0000190,BAO_0000357,single protein format,CCOC(=O)/C(C#N)=C/c1sc2ccccc2c1-c1ccccc1,,,CHEMBL1201862,,,,CHEMBL1362311,,CHEMBL1362311,,False,http://www.openphacts.org/units/Nanomolar,1263638,>,7,True,>,,IC50,nM,,50000.0,CHEMBL1075145,Homo sapiens,Transitional endoplasmic reticulum ATPase,9606,,,IC50,um,UO_0000065,,50.0
Not Active,3634004,[],CHEMBL1614535,"PUBCHEM_BIOASSAY: Luminescence dose response biochemical high throughput screening assay for inhibitors of the p97 ATPase: synthesized compounds. (Class of assay: confirmatory) [Related pubchem assays: 1481, 1517 ]",B,,,BAO_0000190,BAO_0000357,single protein format,CCOC(=O)/C(C#N)=C/c1c[nH]c2ccc(C#N)cc12,,,CHEMBL1201862,,,,CHEMBL1515723,,CHEMBL1515723,,False,http://www.openphacts.org/units/Nanomolar,1263637,>,7,True,>,,IC50,nM,,50000.0,CHEMBL1075145,Homo sapiens,Transitional endoplasmic reticulum ATPase,9606,,,IC50,um,UO_0000065,,50.0
Not Active,3634005,[],CHEMBL1614535,"PUBCHEM_BIOASSAY: Luminescence dose response biochemical high throughput screening assay for inhibitors of the p97 ATPase: synthesized compounds. (Class of assay: confirmatory) [Related pubchem assays: 1481, 1517 ]",B,,,BAO_0000190,BAO_0000357,single protein format,N#Cc1ccc(Nc2nc(-c3cccc(Br)c3)cs2)cc1,,,CHEMBL1201862,,,,CHEMBL1476178,,CHEMBL1476178,,False,http://www.openphacts.org/units/Nanomolar,1263632,>,7,True,>,,IC50,nM,,50000.0,CHEMBL1075145,Homo sapiens,Transitional endoplasmic reticulum ATPase,9606,,,IC50,um,UO_0000065,,50.0
Not Active,3634006,[],CHEMBL1614535,"PUBCHEM_BIOASSAY: Luminescence dose response biochemical high throughput screening assay for inhibitors of the p97 ATPase: synthesized compounds. (Class of assay: confirmatory) [Related pubchem assays: 1481, 1517 ]",B,,,BAO_0000190,BAO_0000357,single protein format,Cc1cc(-c2csc(Nc3ccc(C#N)cc3)n2)c(C)n1C,,,CHEMBL1201862,,,,CHEMBL1314351,,CHEMBL1314351,,False,http://www.openphacts.org/units/Nanomolar,1263640,>,7,True,>,,IC50,nM,,50000.0,CHEMBL1075145,Homo sapiens,Transitional endoplasmic reticulum ATPase,9606,,,IC50,um,UO_0000065,,50.0
Not Active,3634007,[],CHEMBL1614535,"PUBCHEM_BIOASSAY: Luminescence dose response biochemical high throughput screening assay for inhibitors of the p97 ATPase: synthesized compounds. (Class of assay: confirmatory) [Related pubchem assays: 1481, 1517 ]",B,,,BAO_0000190,BAO_0000357,single protein format,N#CC(C#N)=Cc1c2ccccc2cc2ccccc12,,,CHEMBL1201862,,,,CHEMBL1356663,,CHEMBL1356663,,False,http://www.openphacts.org/units/Nanomolar,1263639,>,7,True,>,,IC50,nM,,50000.0,CHEMBL1075145,Homo sapiens,Transitional endoplasmic reticulum ATPase,9606,,,IC50,um,UO_0000065,,50.0
